feature_name,production_group,ieee_source,mapping_type,trainable,mapping_quality,reason
amount,Direct Transaction Features,TransactionAmt,Direct 1:1 Match,IEEE_TRAINABLE,High,Direct monetary transaction amount available in train_transaction.csv.
product_code_freq,Direct Transaction Features,ProductCD,Direct Frequency Map,IEEE_TRAINABLE,High,"Direct 1:1 match; ProductCD contains exact same categories ('W', 'H', 'C', 'S', 'R')."
card_network_freq,Direct Transaction Features,card4,Direct Frequency Map,IEEE_TRAINABLE,High,"Direct 1:1 match; card4 contains payment schemes ('visa', 'mastercard', 'discover', 'american express')."
card_type_freq,Direct Transaction Features,card6,Direct Frequency Map,IEEE_TRAINABLE,High,"Direct 1:1 match; card6 contains card funding types ('debit', 'credit')."
email_domain_freq,Direct Transaction Features,P_emaildomain,Direct Frequency Map,IEEE_TRAINABLE,High,"Direct 1:1 match; P_emaildomain contains purchaser email domains ('gmail.com', 'yahoo.com', etc.)."
missing_fields_count,Direct Transaction Features,"DeviceInfo, addr1, P_emaildomain, card4, card6",Partial Null Proxy,IEEE_AMBIGUOUS,Medium,"Partial proxy; IEEE-CIS lacks merchant_id, true ip_address, and ISO country, so missing field counts reflect a different null-distribution."
hour,Time & Calendar Features,TransactionDT,Modulo Derivation ((TransactionDT // 3600) % 24),IEEE_TRAINABLE,High,TransactionDT is elapsed integer seconds; diurnal cycle modulo 3600 / 24 is exact and semantically sound.
weekday_index,Time & Calendar Features,TransactionDT,Modulo Derivation (((TransactionDT // 86400) + offset) % 7),IEEE_TRAINABLE,High,Day of week cycle modulo 86400 / 7 is exact and consistent.
is_weekend,Time & Calendar Features,TransactionDT,"Modulo Derivation (weekday in (5, 6))",IEEE_TRAINABLE,High,Binary weekend indicator derived deterministically from TransactionDT.
is_night,Time & Calendar Features,TransactionDT,Modulo Derivation (hour < 6),IEEE_TRAINABLE,High,Binary off-peak nocturnal indicator derived directly from TransactionDT hour.
day_of_year,Time & Calendar Features,TransactionDT,Modulo Derivation (((TransactionDT // 86400) + offset) % 365 + 1),IEEE_TRAINABLE,High,Ordinal day of year capturing macro-calendar progression in TransactionDT.
time_since_midnight_sec,Time & Calendar Features,TransactionDT,Modulo Derivation (TransactionDT % 86400),IEEE_TRAINABLE,High,Continuous diurnal seconds variable derived directly from TransactionDT.
amount_log,Amount Transformation Features,TransactionAmt,Mathematical Transform (log1p(TransactionAmt)),IEEE_TRAINABLE,High,Deterministic mathematical transformation of TransactionAmt.
amount_cents,Amount Transformation Features,TransactionAmt,"Mathematical Transform (round(TransactionAmt % 1.0, 2))",IEEE_TRAINABLE,High,Deterministic fractional cents calculation from TransactionAmt.
is_round_amount,Amount Transformation Features,TransactionAmt,Mathematical Transform (TransactionAmt >= 10 and % 10 == 0),IEEE_TRAINABLE,High,Round denomination flag computed directly from TransactionAmt.
is_zero_cents,Amount Transformation Features,TransactionAmt,Mathematical Transform (TransactionAmt % 1.0 == 0),IEEE_TRAINABLE,High,Zero fractional cents flag computed directly from TransactionAmt.
customer_tx_count_5m,Customer Behavioral History,card1 + addr1 + TransactionDT (pseudo-UID),Point-in-time Pseudo-UID Heuristic (t_curr - 300s),IEEE_AMBIGUOUS,Low,"IEEE-CIS contains no customer_id; relies on synthetic pseudo-UID (card1 + addr1), conflating cardholders with cards."
customer_tx_count_1h,Customer Behavioral History,card1 + addr1 + TransactionDT (pseudo-UID),Point-in-time Pseudo-UID Heuristic (t_curr - 3600s),IEEE_AMBIGUOUS,Low,IEEE-CIS contains no customer_id; relies on synthetic pseudo-UID heuristic.
customer_tx_count_24h,Customer Behavioral History,card1 + addr1 + TransactionDT (pseudo-UID),Point-in-time Pseudo-UID Heuristic (t_curr - 86400s),IEEE_AMBIGUOUS,Low,IEEE-CIS contains no customer_id; relies on synthetic pseudo-UID heuristic.
customer_amount_mean,Customer Behavioral History,card1 + addr1 + TransactionAmt (pseudo-UID),Point-in-time Pseudo-UID Heuristic,IEEE_AMBIGUOUS,Low,IEEE-CIS contains no customer_id; historical average is computed on pseudo-UID.
customer_amount_std,Customer Behavioral History,card1 + addr1 + TransactionAmt (pseudo-UID),Point-in-time Pseudo-UID Heuristic,IEEE_AMBIGUOUS,Low,IEEE-CIS contains no customer_id; historical variance is computed on pseudo-UID.
customer_amount_zscore,Customer Behavioral History,card1 + addr1 + TransactionAmt (pseudo-UID),Point-in-time Pseudo-UID Heuristic,IEEE_AMBIGUOUS,Low,IEEE-CIS contains no customer_id; z-score reflects synthetic pseudo-UID history.
customer_amount_ratio,Customer Behavioral History,card1 + addr1 + TransactionAmt (pseudo-UID),Point-in-time Pseudo-UID Heuristic,IEEE_AMBIGUOUS,Low,IEEE-CIS contains no customer_id; ratio reflects synthetic pseudo-UID history.
customer_is_new,Customer Behavioral History,card1 + addr1 + TransactionDT (pseudo-UID),Point-in-time Pseudo-UID Heuristic,IEEE_AMBIGUOUS,Low,IEEE-CIS contains no customer_id; indicates first occurrence of synthetic pseudo-UID.
customer_unique_merchants_24h,Customer Behavioral History,"None (no customer_id, no merchant_id)",None,IEEE_UNAVAILABLE,None,IEEE-CIS contains neither a true customer identifier nor a merchant identifier; impossible to compute.
customer_unique_devices_24h,Customer Behavioral History,pseudo-UID + DeviceInfo (train_identity.csv),Point-in-time Low-Coverage Heuristic,IEEE_AMBIGUOUS,Low,DeviceInfo is only present for 24.4% of transactions and represents generic OS/browser family strings rather than unique hardware fingerprints.
card_tx_count_5m,Card Behavioral History,card1 + TransactionDT,Point-in-time Entity Aggregation (t_curr - 300s),IEEE_TRAINABLE,High,card1 is an authentic card issuer token; point-in-time 5m window is fully computable via TransactionDT.
card_tx_count_1h,Card Behavioral History,card1 + TransactionDT,Point-in-time Entity Aggregation (t_curr - 3600s),IEEE_TRAINABLE,High,card1 is an authentic card issuer token; point-in-time 1h window is fully computable via TransactionDT.
card_tx_count_24h,Card Behavioral History,card1 + TransactionDT,Point-in-time Entity Aggregation (t_curr - 86400s),IEEE_TRAINABLE,High,card1 is an authentic card issuer token; point-in-time 24h window is fully computable via TransactionDT.
card_amount_mean,Card Behavioral History,card1 + TransactionAmt + TransactionDT,Point-in-time Entity Aggregation,IEEE_TRAINABLE,High,Historical average spending for card1 strictly prior to TransactionDT.
card_amount_std,Card Behavioral History,card1 + TransactionAmt + TransactionDT,Point-in-time Entity Aggregation,IEEE_TRAINABLE,High,Historical standard deviation of spend on card1 strictly prior to TransactionDT.
card_amount_ratio,Card Behavioral History,card1 + TransactionAmt + TransactionDT,Point-in-time Entity Aggregation,IEEE_TRAINABLE,High,Ratio of current TransactionAmt over historical mean of card1.
card_is_new,Card Behavioral History,card1 + TransactionDT,Point-in-time Entity Aggregation,IEEE_TRAINABLE,High,Binary flag indicating first observation of card1 in dataset history.
device_tx_count_5m,Device Fingerprint History,DeviceInfo + TransactionDT (train_identity.csv),Low-Coverage Coarse Aggregate (t_curr - 300s),IEEE_AMBIGUOUS,Low,DeviceInfo only present in 24.4% of rows; generic strings ('Windows') create massive spurious velocity spikes.
device_tx_count_1h,Device Fingerprint History,DeviceInfo + TransactionDT (train_identity.csv),Low-Coverage Coarse Aggregate (t_curr - 3600s),IEEE_AMBIGUOUS,Low,DeviceInfo only present in 24.4% of rows; non-unique device families distort hourly counts.
device_tx_count_24h,Device Fingerprint History,DeviceInfo + TransactionDT (train_identity.csv),Low-Coverage Coarse Aggregate (t_curr - 86400s),IEEE_AMBIGUOUS,Low,DeviceInfo only present in 24.4% of rows; non-unique device families distort 24h counts.
